Feature,Coef,Abs
mkt_return_t,-0.0,0.0
mkt_excess_return,0.007740211877535031,0.007740211877535031
mkt_momentum_5d,-0.0006388378616092129,0.0006388378616092129
mkt_momentum_20d,-0.0002754508869103275,0.0002754508869103275
mkt_momentum_60d,-0.003345375765327879,0.003345375765327879
mkt_momentum_252d,0.0,0.0
mkt_realized_vol_30d,-0.0,0.0
mkt_realized_vol_60d,-0.0,0.0
mkt_realized_vol_252d,-0.0,0.0
mkt_parkinson_vol_30d,-0.0,0.0
mkt_vol_of_vol_60d,-0.0011905079960466613,0.0011905079960466613
mkt_volume_ratio_30d,0.0,0.0
mkt_abnormal_volume_30d,-0.0,0.0
mkt_amihud_illiq_20d,-0.0,0.0
mkt_roll_spread_30d,-0.0009057894223198909,0.0009057894223198909
mkt_hl_spread_20d,-0.0005916276414833054,0.0005916276414833054
mkt_zero_volume_days_30d,0.0,0.0
mkt_beta_252d,-0.002121292017197403,0.002121292017197403
mkt_r2_market_252d,0.0,0.0
mkt_alpha_ff3_252d,0.0,0.0
mkt_beta_mkt_ff3_252d,-0.0,0.0
mkt_beta_smb_ff3_252d,-0.0,0.0
mkt_beta_hml_ff3_252d,0.0016311554051995887,0.0016311554051995887
mkt_r2_ff3_252d,0.0,0.0
mkt_market_cap,0.0,0.0
mkt_price,0.0011240359178161855,0.0011240359178161855
mkt_book_value,0.0,0.0
mkt_price_to_book,0.0,0.0
mkt_ev_to_ebitda,0.0002503337987594367,0.0002503337987594367
cong_total_trades,0.0,0.0
cong_buy_count,-0.0,0.0
cong_sell_count,0.0,0.0
cong_total_amount,0.0,0.0
cong_avg_amount,0.0,0.0
cong_large_trades,0.0,0.0
cong_avg_disclosure_delay,0.0,0.0
cong_max_disclosure_delay,-0.0,0.0
cong_long_delay_trades,0.0,0.0
cong_end_of_month_trades,-0.0,0.0
cong_monday_trades,-0.0,0.0
cong_friday_trades,0.0,0.0
cong_info_committee_trades,0.0,0.0
cong_chair_trades,0.0,0.0
cong_senior_trades,0.0,0.0
cong_wealthy_trades,0.0,0.0
cong_senator_trades,0.0,0.0
cong_avg_power_index,0.0,0.0
cong_max_power_index,0.0,0.0
cong_avg_seniority,0.0,0.0
cong_avg_net_worth,0.0,0.0
cong_dem_trades,-0.0,0.0
cong_rep_trades,0.0,0.0
cong_frequent_trader_trades,0.0,0.0
cong_first_time_trades,-0.00012542575726425068,0.00012542575726425068
cong_direction_change_trades,-0.0,0.0
cong_coordinated_trades,0.0,0.0
cong_party_coordinated_trades,0.0,0.0
cong_committee_coordinated_trades,0.0,0.0
cong_max_traders_same_day,0.00013904231036364516,0.00013904231036364516
cong_contrarian_trades,0.0,0.0
cong_high_vol_trades,-0.0,0.0
cong_illiquid_trades,0.0,0.0
cong_small_cap_trades,-0.0,0.0
cong_smart_money_buy_trades,0.0,0.0
cong_smart_money_sell_trades,-0.0,0.0
cong_insider_ring_trades,0.0,0.0
cong_hidden_trades,-0.0,0.0
cong_opportunistic_trades,0.0,0.0
cong_unique_politicians,-0.0,0.0
cong_net,-0.0,0.0
cong_buy_ratio,0.0,0.0
cong_csi,0.0,0.0
cong_info_ratio,0.0,0.0
cong_chair_ratio,-0.0,0.0
cong_senior_ratio,0.0,0.0
cong_senator_ratio,0.0,0.0
cong_dem_ratio,-0.0,0.0
cong_rep_ratio,0.0,0.0
cong_coordinated_ratio,0.0,0.0
cong_party_coordinated_ratio,0.0,0.0
cong_committee_coordinated_ratio,0.0,0.0
cong_first_time_ratio,-0.0,0.0
cong_large_ratio,0.0,0.0
cong_long_delay_ratio,0.0,0.0
cong_frequent_trader_ratio,0.0,0.0
cong_contrarian_ratio,0.0,0.0
cong_high_vol_ratio,-0.0,0.0
cong_illiquid_ratio,0.0,0.0
cong_small_cap_ratio,-0.0,0.0
cong_intensity,0.0,0.0
cong_consensus_buy,0.0,0.0
cong_consensus_sell,0.0,0.0
cong_multiple_politicians,0.0,0.0
cong_bipartisan,-0.0,0.0
cong_smart_money,0.0,0.0
cong_strong_buy,-0.0,0.0
cong_strong_sell,0.0,0.0
cong_has_insider_ring,0.0,0.0
cong_has_hidden,-0.0,0.0
cong_has_opportunistic,0.0,0.0
