Features,Model,R2_OOS,RMSE,MAE,Corr,N
Base,OLS,0.003414066872330368,0.09283969874362713,0.06832944630460006,0.07698062507267808,32083
Base,Ridge,0.003433891759776486,0.09283877531812493,0.0683280184250789,0.07702061626778953,32083
Base,Lasso,-0.0004182226336157946,0.09301803119269321,0.06837065448893441,-0.011209254073243857,32083
Base,ElasticNet,0.002722072488103411,0.09287192546869281,0.06826377806642805,0.09443720172961043,32083
Base,RandomForest,0.014050071350900861,0.09234295672669846,0.06787496454012949,0.12211503057685351,32083
Base,GradientBoosting,0.008387328310259345,0.09260776010925004,0.06798759610949798,0.10333642511067738,32083
Augmented,OLS,-0.0018116603195683645,0.09308278897345894,0.0685155611487448,0.06742379282165123,32083
Augmented,Ridge,-0.0016218619633459053,0.09307397104994453,0.06850638097819525,0.06785502476780743,32083
Augmented,Lasso,-0.0004182226336157946,0.09301803119269321,0.06837065448893441,-0.011209254073243857,32083
Augmented,ElasticNet,0.002722072488103411,0.09287192546869281,0.06826377806642805,0.09443720172961043,32083
Augmented,RandomForest,0.014115093700118209,0.09233991171660004,0.06787260352624387,0.12251955823089201,32083
Augmented,GradientBoosting,0.008492882926167233,0.09260283104925668,0.0679950380309332,0.10337415691665923,32083
Congress Only,OLS,-0.003795473560450402,0.09317490586050138,0.0685225839219294,0.018142655089227005,32083
Congress Only,Ridge,-0.0036001515779262583,0.09316584027233578,0.06851321567528637,0.018754071919737096,32083
Congress Only,Lasso,-0.0004182226336157946,0.09301803119269321,0.06837065448893441,-0.011209254073243857,32083
Congress Only,ElasticNet,-0.0004182226336157946,0.09301803119269321,0.06837065448893441,-0.011209254073243857,32083
Congress Only,RandomForest,0.0004970468985512344,0.09297547096664865,0.06832914203068279,0.02708314321025667,32083
Congress Only,GradientBoosting,-0.0007548058425179693,0.09303367748631218,0.0683874719329591,0.020858471925002967,32083
