Name,N_Anomalies,Anomaly_Rate,Avg_Score,Total_Trades,Party
Morgan Mcgarvey,9,0.34615384615384615,0.15808568642865536,26,D
Brian Mast,21,0.3442622950819672,0.16349121055656768,61,R
Adam Kinzinger,10,0.3225806451612903,0.17695574385048127,31,R
"Moody, Ashley B.",7,0.3181818181818182,0.19283009341151738,22,R
Austin Scott,27,0.3103448275862069,0.17333944167758267,87,R
James E. Banks,8,0.3076923076923077,0.25136705001807197,26,R
Lloyd K. Smucker,5,0.25,0.13997081346638846,20,R
Mo Brooks,20,0.23529411764705882,0.1905478307606634,85,R
Daniel Meuser,15,0.22058823529411764,0.16055762548505537,68,R
Mark Green,35,0.21341463414634146,0.1738297947371479,164,R
Michael K. Simpson,7,0.19444444444444445,0.13737354434246324,36,R
Nancy Pelosi,24,0.17647058823529413,0.13609489191624313,136,D
Debbie Wasserman Schultz,12,0.16216216216216217,0.17984047136358924,74,D
Roger W. Marshall,13,0.15476190476190477,0.1598358529054229,84,R
Sheri Biggs,11,0.1527777777777778,0.16953184690075623,72,R
Michael Garcia,6,0.15,0.16953418261081712,40,R
"Roberts, Pat",55,0.14905149051490515,0.12757201599526227,369,R
Tom Malinowski,27,0.13170731707317074,0.12895503905968808,205,D
Roger Williams,3,0.13043478260869565,0.10050665502044812,23,R
Cleo Fields,25,0.1282051282051282,0.15161240026769915,195,D
Greg Gianforte,124,0.12512613521695257,0.14533084896555587,991,R
Tim Moore,14,0.1037037037037037,0.12104707885996986,135,R
Christopher L. Jacobs,19,0.10106382978723404,0.10659931124371713,188,R
"Jr, David A Perdue ",2,0.1,0.12165941084421272,20,R
Scott H. Peters,31,0.09967845659163987,0.09040284638834972,311,D
Thomas Suozzi,50,0.09881422924901186,0.09535780820367702,506,D
August Lee Pfluger Ii,2,0.09523809523809523,0.10182232449750137,21,R
Donald Sternoff  Beyer Jr,9,0.09473684210526316,0.10556716829865456,95,D
David A. Trott,6,0.08695652173913043,0.09470479464906582,69,R
Kathy Castor,3,0.08571428571428572,0.09512228960838691,35,D
"Wyden, Ron",19,0.084070796460177,0.12984579769692228,226,D
Daniel Crenshaw,2,0.08,0.14084002158852404,25,R
Steve Cohen,6,0.08,0.11273297261425043,75,D
Alan S. Lowenthal,74,0.07965554359526372,0.0900216913022654,929,D
Rob Bresnahan,47,0.07925801011804384,0.10423640313606575,593,R
Mr. Nick J. Rahall Ii,2,0.07407407407407407,0.11581686069489752,27,D
James Comer,3,0.07142857142857142,0.11992564977109103,42,R
James E Hon Banks,2,0.07142857142857142,0.12486454636148106,28,R
"Loeffler, Kelly",17,0.068,0.1227295769425341,250,R
Michael Patrick Guest,4,0.06779661016949153,0.08803657370528531,59,R
Mr. Raúl M. Grijalva,2,0.058823529411764705,0.08109472942228468,34,D
Josh Gottheimer,177,0.05581835383159887,0.10141015370686148,3171,D
Marjorie Taylor Greene,18,0.05555555555555555,0.09575379653261501,324,R
Marjorie Taylor Mrs Greene,7,0.05555555555555555,0.09655373042066459,126,R
Greg Landsman,9,0.05454545454545454,0.08089852772204938,165,D
David E. Price,3,0.05454545454545454,0.07504313007551547,55,D
Gilbert Cisneros,90,0.0544464609800363,0.1010024271120044,1653,D
"Hickenlooper, John",5,0.053763440860215055,0.07863325497224444,93,D
Blake Moore,7,0.05343511450381679,0.10733994919221039,131,R
"Carper, Thomas R.",22,0.05314009661835749,0.0838174084777763,414,D
Debbie Dingell,9,0.052941176470588235,0.07571436937562566,170,D
Ed Perlmutter,4,0.05263157894736842,0.10928898512166893,76,D
Pete Sessions,17,0.05167173252279635,0.07641342419930387,329,R
"Perdue, David",80,0.05102040816326531,0.09120489804446638,1568,R
Deborah K. Ross,1,0.05,0.09727239665087975,20,D
"Smith, Tina",1,0.05,0.08965779374374414,20,D
Daniel Goldman,54,0.04895738893925657,0.11611195166911431,1103,D
David J. Taylor,4,0.047619047619047616,0.0962426989344569,84,R
Donald Sternoff Beyer Jr,20,0.047505938242280284,0.09654032217901674,421,D
Kenneth R. Buck,3,0.046153846153846156,0.09431453536922471,65,R
Mr. Lamar Smith,4,0.045454545454545456,0.06622079396677294,88,R
"Toomey, Pat",4,0.044444444444444446,0.08433083965545059,90,R
Rubén Hinojosa,4,0.044444444444444446,0.09457427008611177,90,D
Brad Ashford,1,0.043478260869565216,0.08680085161142516,23,D
Mark Dr Green,9,0.04265402843601896,0.11072833162346768,211,R
Donna Shalala,18,0.04100227790432802,0.08320982977122558,439,D
Nicholas Van Taylor,13,0.037900874635568516,0.07536559008062539,343,R
Dwight Evans,5,0.03759398496240601,0.08506859542535106,133,D
Peter Welch,3,0.0375,0.07812711779846412,80,D
Carlos Curbelo,9,0.0375,0.07549326396804731,240,R
Michael T. McCaul,557,0.03727747289519475,0.08251803446263857,14942,R
Kim Dr Schrier,1,0.037037037037037035,0.0948160426811503,27,D
James R. Langevin,13,0.036619718309859155,0.11339878277330841,355,D
Susie Lee,36,0.03640040444893832,0.07766191886270359,989,D
Bradley S. Schneider,4,0.03636363636363636,0.07939602840204374,110,D
Kurt Schrader,3,0.03614457831325301,0.0737507706842159,83,D
"Whitehouse, Sheldon",21,0.03547297297297297,0.07045675451811673,592,D
Mrs. Marjorie Taylor Greene,1,0.034482758620689655,0.12919985305639525,29,R
John Curtis,9,0.03409090909090909,0.08102341575383132,264,R
Barbara J  Comstock,2,0.03389830508474576,0.09219402072781908,59,R
Bruce Westerman,7,0.03365384615384615,0.08270055934422395,208,R
Earl Blumenauer,11,0.03343465045592705,0.07346862626758362,329,D
Virginia Foxx,23,0.033381712626995644,0.08250462041578455,689,R
Kelly Louise Morrison,2,0.03278688524590164,0.0748996923572926,61,D
Katherine M. Clark,18,0.032490974729241874,0.06955784155114866,554,D
Jared Moskowitz,12,0.03234501347708895,0.07395282099580257,371,D
Cheri Bustos,1,0.03225806451612903,0.07446810308789277,31,D
"Inhofe, James M.",5,0.03184713375796178,0.07082618451413823,157,R
Lou Barletta,1,0.03125,0.08467712596540367,32,R
Thomas H. Kean Jr.,1,0.03125,0.0716626818074382,32,R
Frank A. Lobiondo,2,0.029850746268656716,0.058152105662417485,67,R
Dean Phillips,21,0.029829545454545456,0.07996924993295701,704,D
Zoe Lofgren,11,0.02981029810298103,0.07190446463110824,369,D
Marie Newman,8,0.02973977695167286,0.1021810996753292,269,D
"Moran, Jerry",6,0.0297029702970297,0.08554868795546297,202,R
"Jr, Robert P Corker",19,0.02945736434108527,0.07411523694286444,645,R
Donald Sternoff Beyer Jr.,2,0.029411764705882353,0.08100440056763847,68,D
"Sullivan, Dan",3,0.028037383177570093,0.08712026177689765,107,R
Kathy Manning,20,0.027972027972027972,0.07734724181746665,715,D
Bob Gibbs,4,0.0273972602739726,0.07652737272850284,146,R
John Rutherford,8,0.027210884353741496,0.08100909852133793,294,R
John A. Yarmuth,8,0.026755852842809364,0.07000142589955897,299,D
Richard L. Hanna,4,0.02666666666666667,0.069635930318477,150,R
"Cassidy, Bill",4,0.02631578947368421,0.06805277390264977,152,R
Lamar Smith,9,0.024930747922437674,0.06926620889879621,361,R
Dan Newhouse,4,0.024242424242424242,0.07729455881045273,165,R
Ms. Lois Frankel,3,0.024,0.06240574713923222,125,D
Jefferson Shreve,12,0.021937842778793418,0.08649420074822933,547,R
Shri Thanedar,1,0.02127659574468085,0.10787786861486857,47,D
K. Michael Conaway,15,0.02100840336134454,0.07210364798768537,714,R
"Reed, John F.",3,0.02097902097902098,0.05650655716509949,143,D
Robert J. Wittman,4,0.020618556701030927,0.06903760064202494,194,R
Thomas Macarthur,37,0.019733333333333332,0.07403688712150319,1875,R
"Hoeven, John",3,0.0196078431372549,0.06357526392484701,153,R
Susan A. Davis,1,0.018518518518518517,0.06572677464940171,54,D
"Tuberville, Tommy",19,0.01832208293153327,0.08143243136754774,1037,R
Lisa Mcclain,25,0.01815541031227306,0.07009489315302604,1377,R
"Mullin, Markwayne",6,0.017857142857142856,0.07134861269267809,336,R
Bill Flores,10,0.01680672268907563,0.06521802892053384,595,R
"King, Angus",1,0.01639344262295082,0.064914181482467,61,I
Ritchie John Torres,2,0.016260162601626018,0.06808409966619561,123,D
"Collins, Susan M.",4,0.016260162601626018,0.05567588350065647,246,R
Julie Johnson,8,0.016227180527383367,0.06975180047537001,493,D
E. Scott Rigell,1,0.016129032258064516,0.05875658825213081,62,R
Julia Letlow,3,0.015625,0.07912811244734455,192,R
Gerald E. Connolly,1,0.014925373134328358,0.05342796446885665,67,D
Rick Larsen,1,0.014925373134328358,0.059094571096139505,67,D
Mikie Sherrill,4,0.01486988847583643,0.07741957906093747,269,D
Diana Harshbarger,13,0.014115092290988056,0.0724435385700191,921,R
Ro Khanna,325,0.014096113809854267,0.0687110858156876,23056,D
"Cochran, Thad",4,0.013793103448275862,0.06715635430272994,290,R
Ed Whitfield,1,0.013333333333333334,0.07798194970118039,75,R
Byron Donalds,3,0.012345679012345678,0.07104251189401721,243,R
Raúl M. Grijalva,1,0.012048192771084338,0.06562386321467058,83,D
Mr. K. Michael Conaway,1,0.012048192771084338,0.06269319775892669,83,R
"Capito, Shelley Moore",6,0.011976047904191617,0.07216715687565305,501,R
David P. Joyce,1,0.011494252873563218,0.0633074997768738,87,R
