Feature,Importance
mkt_excess_return,0.23197454791581085
mkt_momentum_60d,0.07913493084748681
mkt_hl_spread_20d,0.06720948367093439
mkt_momentum_252d,0.0483479092403529
mkt_beta_252d,0.0413968493324806
mkt_beta_smb_ff3_252d,0.0366799723681273
mkt_momentum_5d,0.03359242927756002
mkt_beta_hml_ff3_252d,0.029271831287889218
mkt_parkinson_vol_30d,0.02825753417425698
mkt_realized_vol_252d,0.026118460114843704
mkt_vol_of_vol_60d,0.025937883776450676
mkt_return_t,0.02530185401966455
mkt_roll_spread_30d,0.02429414952011699
mkt_alpha_ff3_252d,0.02346645217736888
mkt_beta_mkt_ff3_252d,0.023423550295643088
mkt_ev_to_ebitda,0.019012413595117253
mkt_r2_market_252d,0.017480934360157085
mkt_momentum_20d,0.016605620583332908
mkt_price_to_book,0.016159076973547827
mkt_volume_ratio_30d,0.015598178477810403
mkt_book_value,0.013553448174951552
mkt_price,0.012740795518960908
cong_avg_disclosure_delay,0.012552722129937325
mkt_realized_vol_30d,0.012286695840276848
mkt_realized_vol_60d,0.012257501622362285
mkt_amihud_illiq_20d,0.012150015297879782
mkt_abnormal_volume_30d,0.010961555660651974
mkt_r2_ff3_252d,0.010141146850541082
mkt_market_cap,0.009635158864584263
cong_max_disclosure_delay,0.007662246984096815
cong_avg_seniority,0.0042204446980166075
cong_total_amount,0.004006521869521285
cong_info_ratio,0.0030341898998699334
cong_avg_amount,0.002949903611026743
cong_monday_trades,0.0028559019873536312
cong_chair_ratio,0.00272308855354566
mkt_zero_volume_days_30d,0.002631526693874328
cong_dem_ratio,0.0023646676690218496
cong_long_delay_trades,0.0021349585691500085
cong_net,0.002087886106880514
cong_csi,0.001966909234969925
cong_avg_power_index,0.0017267515364407452
cong_contrarian_ratio,0.0017080177919121123
cong_long_delay_ratio,0.0016929387530870191
cong_first_time_ratio,0.001458164581189864
cong_friday_trades,0.0013186127704391663
cong_frequent_trader_trades,0.0012924395669131434
cong_direction_change_trades,0.0012892802329554616
cong_chair_trades,0.0012343818523850767
cong_hidden_trades,0.0011564274832422813
cong_sell_count,0.001047815454523839
cong_end_of_month_trades,0.0009437640419750933
cong_intensity,0.0009077429866303284
cong_dem_trades,0.0008958512387315355
cong_illiquid_trades,0.0008868219333076896
cong_frequent_trader_ratio,0.0008629958388204528
cong_first_time_trades,0.0008386580498481669
cong_buy_ratio,0.0006834238846945509
cong_large_ratio,0.0006739441038458696
cong_small_cap_trades,0.0006394468878390675
cong_max_power_index,0.0004890301918487681
cong_buy_count,0.0004480788524232497
cong_high_vol_trades,0.000416815948518217
cong_smart_money,0.00039593593784500986
cong_contrarian_trades,0.0003731428597983014
cong_info_committee_trades,0.0003620022391514537
cong_consensus_sell,0.00028965145965994843
cong_unique_politicians,0.00020943389532988716
cong_smart_money_sell_trades,0.0002072534974064236
cong_consensus_buy,0.0002018273026128792
cong_senior_trades,0.00017266743967021565
cong_has_hidden,0.00016824505295636016
cong_illiquid_ratio,0.00016523705378267129
cong_smart_money_buy_trades,0.00015551973692271476
cong_multiple_politicians,0.00015378693854606259
cong_strong_buy,0.00010163377427154974
cong_senior_ratio,8.842836604025528e-05
cong_large_trades,6.420888125824409e-05
cong_coordinated_ratio,5.876136742759897e-05
cong_rep_trades,1.448603710599314e-05
cong_small_cap_ratio,1.292587081101028e-05
cong_bipartisan,1.0998512043074037e-05
cong_strong_sell,1.1019493629062212e-06
cong_high_vol_ratio,0.0
cong_total_trades,0.0
cong_has_insider_ring,0.0
cong_rep_ratio,0.0
cong_committee_coordinated_ratio,0.0
cong_party_coordinated_ratio,0.0
cong_coordinated_trades,0.0
cong_senator_ratio,0.0
cong_wealthy_trades,0.0
cong_senator_trades,0.0
cong_avg_net_worth,0.0
cong_opportunistic_trades,0.0
cong_insider_ring_trades,0.0
cong_max_traders_same_day,0.0
cong_committee_coordinated_trades,0.0
cong_party_coordinated_trades,0.0
cong_has_opportunistic,0.0
