trade_id,BioGuideID,Name,Ticker,trade_date,Transaction,anomaly_political_if,anomaly_political_svm,anomaly_political_lof,anomaly_political_consensus,score_political_if
30280,A000055,Robert B. Aderholt,TSLA,2022-12-05,Sale,1,1,0,1,0.6869215187368136
4858,A000055,Robert B. Aderholt,GSK,2025-07-28,Sale,1,0,0,0,0.5883636720632371
13551,A000148,Jake Auchincloss,STT,2024-11-18,Sale,0,0,0,0,0.49103430989645275
11686,A000148,Jake Auchincloss,STT,2025-02-18,Sale,0,0,0,0,0.4614583624714904
7328,A000148,Jake Auchincloss,STT,2025-05-16,Sale,0,0,0,0,0.5375887249597916
3876,A000148,Jake Auchincloss,STT,2025-08-18,Sale,0,0,0,0,0.4586138183966881
670,A000148,Jake Auchincloss,STT,2025-11-17,Sale,0,0,0,0,0.5398400470625593
75140,A000367,Justin Amash,AAPL,2018-08-01,Purchase,1,1,0,1,0.5901864068644066
75133,A000367,Justin Amash,NTDOY,2018-08-01,Purchase,0,0,0,0,0.47473318282125393
75132,A000367,Justin Amash,DIS,2018-08-01,Purchase,0,0,1,0,0.37460353196692897
75122,A000367,Justin Amash,DIS,2018-08-01,Purchase,0,0,1,0,0.3763418536272271
75118,A000367,Justin Amash,DIS,2018-08-01,Purchase,0,1,0,0,0.5174626217583914
72080,A000367,Justin Amash,SONO,2018-11-01,Purchase,0,0,0,0,0.3857580245228404
72074,A000367,Justin Amash,AMZN,2018-11-01,Purchase,0,0,0,0,0.5561034406204876
72100,A000367,Justin Amash,AMZN,2018-11-01,Purchase,1,1,0,1,0.5896666796381512
72104,A000367,Justin Amash,AMZN,2018-11-01,Purchase,0,0,0,0,0.5027914943441821
69801,A000367,Justin Amash,DIS,2019-01-02,Purchase,0,0,0,0,0.3745539149119576
69794,A000367,Justin Amash,AMZN,2019-01-02,Purchase,0,1,0,0,0.45837454336184835
69835,A000367,Justin Amash,SONO,2019-01-02,Purchase,0,0,0,0,0.3671255293189547
69821,A000367,Justin Amash,AAPL,2019-01-02,Purchase,0,0,0,0,0.5103326548822757
69807,A000367,Justin Amash,DIS,2019-01-02,Purchase,0,0,0,0,0.3745539149119576
65433,A000367,Justin Amash,NTDOY,2019-05-01,Purchase,0,0,0,0,0.4560063825120496
55005,A000367,Justin Amash,DIS,2020-03-18,Purchase,0,0,0,0,0.5073119121222772
55133,A000367,Justin Amash,DIS,2020-03-18,Purchase,1,1,0,1,0.5724030683822254
55236,A000367,Justin Amash,DIS,2020-03-18,Purchase,0,0,0,0,0.5198132239534269
88065,A000372,Richard W. Allen,BBT,2017-03-23,Sale,0,0,0,0,0.5359164601028258
88062,A000372,Richard W. Allen,BBT,2017-03-23,Sale,0,1,0,0,0.5223481776512281
87464,A000372,Richard W. Allen,XOM,2017-04-27,Sale,1,1,0,1,0.5938370894355814
87465,A000372,Richard W. Allen,COST,2017-04-27,Purchase,1,1,0,1,0.6305713826874317
86782,A000372,Richard W. Allen,FDX,2017-05-16,Purchase,1,1,0,1,0.5779226203562992
86809,A000372,Richard W. Allen,GE,2017-05-16,Sale,1,1,0,1,0.6066430275758543
82162,A000372,Richard W. Allen,DIS,2017-11-30,Purchase,1,1,0,1,0.6184186507768241
82222,A000372,Richard W. Allen,TEL,2017-11-30,Purchase,1,0,0,0,0.5957456695713278
82233,A000372,Richard W. Allen,MRK,2017-11-30,Sale,1,0,0,0,0.5939549706806073
80627,A000372,Richard W. Allen,WMT,2018-01-25,Purchase,1,1,0,1,0.6603807282791152
80545,A000372,Richard W. Allen,PG,2018-01-29,Sale,0,0,1,0,0.5645267834238482
80549,A000372,Richard W. Allen,CCL,2018-01-29,Purchase,0,1,0,0,0.5616787166827134
80316,A000372,Richard W. Allen,CI,2018-02-07,Sale,0,1,0,0,0.514504620887169
78339,A000372,Richard W. Allen,DOV,2018-04-11,Sale,1,1,0,1,0.5702779373586617
78077,A000372,Richard W. Allen,BBT,2018-04-27,Sale,0,1,0,0,0.5397626679243553
77091,A000372,Richard W. Allen,PAYX,2018-05-23,Purchase,0,1,0,0,0.5214239478347171
77092,A000372,Richard W. Allen,WMT,2018-05-23,Sale,0,0,0,0,0.4980747608277214
76794,A000372,Richard W. Allen,BAYZF,2018-06-07,Sale,0,1,0,0,0.5076201228527041
76145,A000372,Richard W. Allen,WMT,2018-06-28,Purchase,0,1,0,0,0.5434205398003974
71389,A000372,Richard W. Allen,TEL,2018-11-20,Sale,0,1,0,0,0.5501972947067972
68469,A000372,Richard W. Allen,SSB,2019-02-07,Sale,0,1,0,0,0.5205913803207332
66105,A000372,Richard W. Allen,CAE,2019-04-09,Purchase,0,0,0,0,0.48155309179972444
66123,A000372,Richard W. Allen,FDX,2019-04-09,Sale,1,1,0,1,0.6010900361997437
66032,A000372,Richard W. Allen,CCL,2019-04-11,Sale,0,0,0,0,0.4645416179378138
65033,A000372,Richard W. Allen,DOV,2019-05-15,Purchase,0,1,0,0,0.5276199212576644
64994,A000372,Richard W. Allen,MMM,2019-05-17,Sale,1,1,0,1,0.595957760102775
64935,A000372,Richard W. Allen,SSB,2019-05-22,Sale,0,1,0,0,0.4929968183107526
64000,A000372,Richard W. Allen,KMB,2019-06-07,Purchase,1,1,0,1,0.5680620780288312
63878,A000372,Richard W. Allen,MMM,2019-06-19,Purchase,0,1,0,0,0.5377697459360907
63883,A000372,Richard W. Allen,BBT,2019-06-19,Sale,0,0,0,0,0.47728294551012945
61914,A000372,Richard W. Allen,MMM,2019-08-22,Purchase,0,1,0,0,0.5511147251805416
61924,A000372,Richard W. Allen,WMT,2019-08-22,Purchase,0,0,0,0,0.5241131476571176
61929,A000372,Richard W. Allen,MAR,2019-08-22,Purchase,0,0,0,0,0.491701723677947
61893,A000372,Richard W. Allen,MSFT,2019-08-27,Purchase,0,0,0,0,0.5401492739839553
61881,A000372,Richard W. Allen,PAYX,2019-08-27,Purchase,0,1,0,0,0.48551609918604427
61863,A000372,Richard W. Allen,ACN,2019-08-28,Purchase,0,0,0,0,0.4858892063107165
61843,A000372,Richard W. Allen,AMGN,2019-08-29,Purchase,0,0,0,0,0.486502025572702
61826,A000372,Richard W. Allen,INTU,2019-08-29,Purchase,0,1,0,0,0.5441958235709009
61825,A000372,Richard W. Allen,VZ,2019-08-29,Purchase,0,1,0,0,0.5120950211655307
61674,A000372,Richard W. Allen,AWK,2019-09-10,Purchase,1,1,0,1,0.5767336541413566
61676,A000372,Richard W. Allen,AMZN,2019-09-10,Purchase,0,1,0,0,0.5564640649186275
61716,A000372,Richard W. Allen,KMB,2019-09-10,Purchase,0,0,0,0,0.5152926488789554
61726,A000372,Richard W. Allen,COST,2019-09-10,Purchase,0,0,0,0,0.5550002829728412
