BioGuideID,Name,Party,n_anomalies,n_trades,anomaly_rate,mean_car
P000197,Nancy Pelosi,D,69,136,0.5073529411764706,0.007334266675379935
M001204,Daniel Meuser,R,32,69,0.463768115942029,0.01087612727335995
G000590,Mark Dr Green,R,68,215,0.31627906976744186,0.006869889749992059
M001203,Tom Malinowski,D,61,204,0.29901960784313725,-0.021476130260733858
M001236,Tim Moore,R,46,167,0.2754491017964072,0.00439222915906769
M001199,Brian Mast,R,17,62,0.27419354838709675,0.015868569655304195
L000594,"Loeffler, Kelly",R,66,249,0.26506024096385544,-0.013072608192523755
B001325,Sheri Biggs,R,19,72,0.2638888888888889,-0.0070208110591336425
G000590,Mark Green,R,43,164,0.2621951219512195,-0.06815430794807657
G000061,Michael Garcia,R,12,50,0.24,0.07971322423980204
S001201,Thomas Suozzi,D,126,535,0.23551401869158878,0.010400993780605872
S001190,Bradley S. Schneider,D,23,110,0.20909090909090908,0.002501685555424263
F000246,Patrick Fallon,R,35,175,0.2,-0.033629550365648936
S001148,Michael K. Simpson,R,10,52,0.19230769230769232,-0.03210850187185109
G000584,Greg Gianforte,R,189,1013,0.18657453109575517,0.008073822015619707
