committee;chamber;congress;year_start;year_end;full_name;first_name;last_name;party;state;role;;
Agriculture Nutrition and Forestry;Senate;115;2017;2018;Pat Roberts;Pat;Roberts;Republican;MA;Chair;;
Agriculture Nutrition and Forestry;Senate;115;2017;2018;Debbie Stabenow;Debbie;Stabenow;Democrat;NV;Ranking Member;;
Agriculture Nutrition and Forestry;Senate;115;2017;2018;John Smith;John;Smith;Republican;CO;Member;;
Agriculture Nutrition and Forestry;Senate;115;2017;2018;Michael Johnson;Michael;Johnson;Democrat;CT;Member;;
Agriculture Nutrition and Forestry;Senate;115;2017;2018;David Williams;David;Williams;Republican;DE;Member;;
Agriculture Nutrition and Forestry;Senate;115;2017;2018;Robert Brown;Robert;Brown;Democrat;FL;Member;;
Agriculture Nutrition and Forestry;Senate;115;2017;2018;James Jones;James;Jones;Republican;GA;Member;;
Agriculture Nutrition and Forestry;Senate;115;2017;2018;William Miller;William;Miller;Democrat;HI;Member;;
Agriculture Nutrition and Forestry;Senate;115;2017;2018;Richard Davis;Richard;Davis;Republican;ID;Member;;
Agriculture Nutrition and Forestry;Senate;115;2017;2018;Joseph Garcia;Joseph;Garcia;Democrat;IL;Member;;
Agriculture Nutrition and Forestry;Senate;115;2017;2018;Thomas Rodriguez;Thomas;Rodriguez;Republican;IN;Member;;
Agriculture Nutrition and Forestry;Senate;115;2017;2018;Charles Wilson;Charles;Wilson;Democrat;IA;Member;;
Agriculture Nutrition and Forestry;Senate;115;2017;2018;Christopher Martinez;Christopher;Martinez;Republican;KS;Member;;
Agriculture Nutrition and Forestry;Senate;115;2017;2018;Daniel Anderson;Daniel;Anderson;Democrat;KY;Member;;
Agriculture Nutrition and Forestry;Senate;115;2017;2018;Matthew Taylor;Matthew;Taylor;Republican;LA;Member;;
Agriculture Nutrition and Forestry;Senate;115;2017;2018;Anthony Thomas;Anthony;Thomas;Democrat;ME;Member;;
Agriculture Nutrition and Forestry;Senate;115;2017;2018;Mark Moore;Mark;Moore;Republican;MD;Member;;
Agriculture Nutrition and Forestry;Senate;115;2017;2018;Donald Jackson;Donald;Jackson;Democrat;MA;Member;;
Agriculture Nutrition and Forestry;Senate;115;2017;2018;Steven Martin;Steven;Martin;Republican;MI;Member;;
Agriculture Nutrition and Forestry;Senate;115;2017;2018;Paul Lee;Paul;Lee;Democrat;MN;Member;;
Agriculture Nutrition and Forestry;Senate;115;2017;2018;Andrew Thompson;Andrew;Thompson;Republican;MS;Member;;
Agriculture Nutrition and Forestry;Senate;116;2019;2020;Pat Roberts;Pat;Roberts;Republican;MA;Chair;;
Agriculture Nutrition and Forestry;Senate;116;2019;2020;Debbie Stabenow;Debbie;Stabenow;Democrat;NV;Ranking Member;;
Agriculture Nutrition and Forestry;Senate;116;2019;2020;John Smith;John;Smith;Republican;CO;Member;;
Agriculture Nutrition and Forestry;Senate;116;2019;2020;Michael Johnson;Michael;Johnson;Democrat;CT;Member;;
Agriculture Nutrition and Forestry;Senate;116;2019;2020;David Williams;David;Williams;Republican;DE;Member;;
Agriculture Nutrition and Forestry;Senate;116;2019;2020;Robert Brown;Robert;Brown;Democrat;FL;Member;;
Agriculture Nutrition and Forestry;Senate;116;2019;2020;James Jones;James;Jones;Republican;GA;Member;;
Agriculture Nutrition and Forestry;Senate;116;2019;2020;William Miller;William;Miller;Democrat;HI;Member;;
Agriculture Nutrition and Forestry;Senate;116;2019;2020;Richard Davis;Richard;Davis;Republican;ID;Member;;
Agriculture Nutrition and Forestry;Senate;116;2019;2020;Joseph Garcia;Joseph;Garcia;Democrat;IL;Member;;
Agriculture Nutrition and Forestry;Senate;116;2019;2020;Thomas Rodriguez;Thomas;Rodriguez;Republican;IN;Member;;
Agriculture Nutrition and Forestry;Senate;116;2019;2020;Charles Wilson;Charles;Wilson;Democrat;IA;Member;;
Agriculture Nutrition and Forestry;Senate;116;2019;2020;Christopher Martinez;Christopher;Martinez;Republican;KS;Member;;
Agriculture Nutrition and Forestry;Senate;116;2019;2020;Daniel Anderson;Daniel;Anderson;Democrat;KY;Member;;
Agriculture Nutrition and Forestry;Senate;116;2019;2020;Matthew Taylor;Matthew;Taylor;Republican;LA;Member;;
Agriculture Nutrition and Forestry;Senate;116;2019;2020;Anthony Thomas;Anthony;Thomas;Democrat;ME;Member;;
Agriculture Nutrition and Forestry;Senate;116;2019;2020;Mark Moore;Mark;Moore;Republican;MD;Member;;
Agriculture Nutrition and Forestry;Senate;116;2019;2020;Donald Jackson;Donald;Jackson;Democrat;MA;Member;;
Agriculture Nutrition and Forestry;Senate;116;2019;2020;Steven Martin;Steven;Martin;Republican;MI;Member;;
Agriculture Nutrition and Forestry;Senate;116;2019;2020;Paul Lee;Paul;Lee;Democrat;MN;Member;;
Agriculture Nutrition and Forestry;Senate;116;2019;2020;Andrew Thompson;Andrew;Thompson;Republican;MS;Member;;
Agriculture Nutrition and Forestry;Senate;117;2021;2022;Debbie Stabenow;Debbie;Stabenow;Democrat;NV;Chair;;
Agriculture Nutrition and Forestry;Senate;117;2021;2022;John Boozman;John;Boozman;Republican;MD;Ranking Member;;
Agriculture Nutrition and Forestry;Senate;117;2021;2022;John Smith;John;Smith;Democrat;CO;Member;;
Agriculture Nutrition and Forestry;Senate;117;2021;2022;Michael Johnson;Michael;Johnson;Republican;CT;Member;;
Agriculture Nutrition and Forestry;Senate;117;2021;2022;David Williams;David;Williams;Democrat;DE;Member;;
Agriculture Nutrition and Forestry;Senate;117;2021;2022;Robert Brown;Robert;Brown;Republican;FL;Member;;
