committee;chamber;congress;year_start;year_end;full_name;first_name;last_name;party;state;role
Agricultura, nutrición y silvicultura;Senate;119;2025;2026;John Boozman;John;Boozman;Republican;Arkansas;Chair
Agricultura, nutrición y silvicultura;Senate;119;2025;2026;Amy Klobuchar;Amy;Klobuchar;Democrat;Minnesota;Ranking Member
Agricultura, nutrición y silvicultura;Senate;119;2025;2026;Cindy Hyde-Smith;Cindy;Hyde-Smith;Republican;;Subcommittee Chair
Agricultura, nutrición y silvicultura;Senate;119;2025;2026;Cory Booker;Cory;Booker;Democrat;Nueva Jersey;Subcommittee Ranking
Agricultura, nutrición y silvicultura;Senate;119;2025;2026;Roger Marshall;Roger;Marshall;Republican;Kansas;Subcommittee Chair
Agricultura, nutrición y silvicultura;Senate;119;2025;2026;Michael Bennett;Michael;Bennett;Democrat;Colorado;Subcommittee Ranking
Agricultura, nutrición y silvicultura;Senate;119;2025;2026;Mitch McConnell;Mitch;McConnell;Republican;Kentucky;Subcommittee Chair
Agricultura, nutrición y silvicultura;Senate;119;2025;2026;Ben Ray Luján;Ben;Ray Luján;Democrat;Nuevo México;Subcommittee Ranking
Agricultura, nutrición y silvicultura;Senate;119;2025;2026;John Hoeven;John;Hoeven;Republican;Dakota del Norte;Subcommittee Chair
Agricultura, nutrición y silvicultura;Senate;119;2025;2026;Elissa Slotkin;Elissa;Slotkin;Democrat;Michigan;Subcommittee Ranking
Agricultura, nutrición y silvicultura;Senate;119;2025;2026;Joni Ernst;Joni;Ernst;Republican;Iowa;Subcommittee Chair
Agricultura, nutrición y silvicultura;Senate;119;2025;2026;Peter Welch;Peter;Welch;Democrat;Vermont;Subcommittee Ranking
Asignaciones;Senate;119;2025;2026;Susan Collins;Susan;Collins;Republican;Maine;Chair
Asignaciones;Senate;119;2025;2026;Patty Murray;Patty;Murray;Democrat;Washington;Ranking Member
Asignaciones;Senate;119;2025;2026;John Hoeven;John;Hoeven;Republican;Dakota del Norte;Subcommittee Chair
Asignaciones;Senate;119;2025;2026;Jeanne Shaheen;Jeanne;Shaheen;Democrat;New Hampshire;Subcommittee Ranking
Asignaciones;Senate;119;2025;2026;Jerry Moran;Jerry;Moran;Republican;Kansas;Subcommittee Chair
Asignaciones;Senate;119;2025;2026;Chris Van Hollen;Chris;Van Hollen;Democrat;Maryland;Subcommittee Ranking
Asignaciones;Senate;119;2025;2026;Mitch McConnell;Mitch;McConnell;Republican;Kentucky;Subcommittee Chair
