committee,chamber,congress,year_start,year_end,full_name,first_name,last_name,party,state,role,Unnamed: 11,bioguide_id,match_method,Unnamed: 12
Financial Services,House,118,2023,2024,Patrick McHenry,Patrick,McHenry,Republican,NC,Chair,,M001156,no_middle+state,
Financial Services,House,118,2023,2024,Frank Lucas,Frank,Lucas,Republican,OK,Member,,L000491,no_middle+state,
Financial Services,House,118,2023,2024,Pete Sessions,Pete,Sessions,Republican,TX,Member,,S000250,full_name+state,
Financial Services,House,118,2023,2024,Bill Huizenga,Bill,Huizenga,Republican,MI,Member,,H001058,full_name+state,
Financial Services,House,118,2023,2024,Ann Wagner,Ann,Wagner,Republican,MO,Member,,W000812,full_name+state,
Financial Services,House,118,2023,2024,Andy Barr,Andy,Barr,Republican,KY,Member,,B001282,full_name+state,
Financial Services,House,118,2023,2024,Roger Williams,Roger,Williams,Republican,TX,Member,,W000816,full_name+state,
Financial Services,House,118,2023,2024,French Hill,French,Hill,Republican,AR,Member,,H001072,last+state,
Financial Services,House,118,2023,2024,Tom Emmer,Tom,Emmer,Republican,MN,Member,,E000294,full_name+state,
Financial Services,House,118,2023,2024,Barry Loudermilk,Barry,Loudermilk,Republican,GA,Member,,L000583,full_name+state,
Financial Services,House,118,2023,2024,Warren Davidson,Warren,Davidson,Republican,OH,Member,,D000626,full_name+state,
Financial Services,House,118,2023,2024,John Rose,John,Rose,Republican,TN,Member,,R000612,no_middle+state,
Financial Services,House,118,2023,2024,Bryan Steil,Bryan,Steil,Republican,WI,Member,,S001213,full_name+state,
Financial Services,House,118,2023,2024,William Timmons,William,Timmons,Republican,SC,Member,,T000480,no_middle+state,
Financial Services,House,118,2023,2024,Ralph Norman,Ralph,Norman,Republican,SC,Member,,N000190,full_name+state,
Financial Services,House,118,2023,2024,Maxine Waters,Maxine,Waters,Democrat,CA,Ranking Member,,W000187,full_name+state,
Financial Services,House,118,2023,2024,Nydia Velázquez,Nydia,Velázquez,Democrat,NY,Member,,,no_match,
Financial Services,House,118,2023,2024,Brad Sherman,Brad,Sherman,Democrat,CA,Member,,S000344,full_name+state,
Financial Services,House,118,2023,2024,Gregory Meeks,Gregory,Meeks,Democrat,NY,Member,,M001137,no_middle+state,
Financial Services,House,118,2023,2024,David Scott,David,Scott,Democrat,GA,Member,,S001157,full_name+state,
Financial Services,House,118,2023,2024,Stephen Lynch,Stephen,Lynch,Democrat,MA,Member,,L000562,no_middle+state,
Financial Services,House,118,2023,2024,Al Green,Al,Green,Democrat,TX,Member,,G000553,full_name+state,
Financial Services,House,118,2023,2024,Emanuel Cleaver,Emanuel,Cleaver,Democrat,MO,Member,,C001061,full_name+state,
Financial Services,House,118,2023,2024,Jim Himes,Jim,Himes,Democrat,CT,Member,,H001047,last+state,
Financial Services,House,118,2023,2024,Bill Foster,Bill,Foster,Democrat,IL,Member,,F000454,full_name+state,
Financial Services,House,118,2023,2024,Joyce Beatty,Joyce,Beatty,Democrat,OH,Member,,B001281,full_name+state,
Financial Services,House,118,2023,2024,Juan Vargas,Juan,Vargas,Democrat,CA,Member,,V000130,full_name+state,
Financial Services,House,118,2023,2024,Josh Gottheimer,Josh,Gottheimer,Democrat,NJ,Member,,G000583,full_name+state,
Financial Services,House,118,2023,2024,Vicente Gonzalez,Vicente,Gonzalez,Democrat,TX,Member,,G000581,full_name+state,
Financial Services,House,118,2023,2024,Sean Casten,Sean,Casten,Democrat,IL,Member,,C001117,full_name+state,
Financial Services,House,118,2023,2024,Ayanna Pressley,Ayanna,Pressley,Democrat,MA,Member,,P000617,full_name+state,
Financial Services,House,118,2023,2024,Ritchie Torres,Ritchie,Torres,Democrat,NY,Member,,T000486,full_name+state,
Financial Services,House,118,2023,2024,Rashida Tlaib,Rashida,Tlaib,Democrat,MI,Member,,T000481,full_name+state,
Financial Services,House,118,2023,2024,Sylvia Garcia,Sylvia,Garcia,Democrat,TX,Member,,G000587,no_middle+state,
Financial Services,House,118,2023,2024,Nikema Williams,Nikema,Williams,Democrat,GA,Member,,W000788,full_name+state,
Financial Services,House,117,2021,2022,Maxine Waters,Maxine,Waters,Democrat,CA,Chair,,W000187,full_name+state,
Financial Services,House,117,2021,2022,Carolyn Maloney,Carolyn,Maloney,Democrat,NY,Member,,M000087,no_middle+state,
Financial Services,House,117,2021,2022,Nydia Velázquez,Nydia,Velázquez,Democrat,NY,Member,,,no_match,
Financial Services,House,117,2021,2022,Brad Sherman,Brad,Sherman,Democrat,CA,Member,,S000344,full_name+state,
Financial Services,House,117,2021,2022,Gregory Meeks,Gregory,Meeks,Democrat,NY,Member,,M001137,no_middle+state,
Financial Services,House,117,2021,2022,David Scott,David,Scott,Democrat,GA,Member,,S001157,full_name+state,
Financial Services,House,117,2021,2022,Al Green,Al,Green,Democrat,TX,Member,,G000553,full_name+state,
Financial Services,House,117,2021,2022,Emanuel Cleaver,Emanuel,Cleaver,Democrat,MO,Member,,C001061,full_name+state,
Financial Services,House,117,2021,2022,Ed Perlmutter,Ed,Perlmutter,Democrat,CO,Member,,,no_match,
Financial Services,House,117,2021,2022,Jim Himes,Jim,Himes,Democrat,CT,Member,,H001047,last+state,
Financial Services,House,117,2021,2022,Bill Foster,Bill,Foster,Democrat,IL,Member,,F000454,full_name+state,
Financial Services,House,117,2021,2022,Joyce Beatty,Joyce,Beatty,Democrat,OH,Member,,B001281,full_name+state,
Financial Services,House,117,2021,2022,Juan Vargas,Juan,Vargas,Democrat,CA,Member,,V000130,full_name+state,
Financial Services,House,117,2021,2022,Josh Gottheimer,Josh,Gottheimer,Democrat,NJ,Member,,G000583,full_name+state,
Financial Services,House,117,2021,2022,Vicente Gonzalez,Vicente,Gonzalez,Democrat,TX,Member,,G000581,full_name+state,
Financial Services,House,117,2021,2022,Al Lawson,Al,Lawson,Democrat,FL,Member,,L000586,full_name+state,
Financial Services,House,117,2021,2022,Michael San Nicolas,Michael San,Nicolas,Democrat,GU,Member,,S001204,name_key,
Financial Services,House,117,2021,2022,Cindy Axne,Cindy,Axne,Democrat,IA,Member,,A000378,last+state,
Financial Services,House,117,2021,2022,Sean Casten,Sean,Casten,Democrat,IL,Member,,C001117,full_name+state,
Financial Services,House,117,2021,2022,Ayanna Pressley,Ayanna,Pressley,Democrat,MA,Member,,P000617,full_name+state,
Financial Services,House,117,2021,2022,Ritchie Torres,Ritchie,Torres,Democrat,NY,Member,,T000486,full_name+state,
Financial Services,House,117,2021,2022,Stephen Lynch,Stephen,Lynch,Democrat,MA,Member,,L000562,no_middle+state,
Financial Services,House,117,2021,2022,Alma Adams,Alma,Adams,Democrat,NC,Member,,A000370,no_middle+state,
Financial Services,House,117,2021,2022,Rashida Tlaib,Rashida,Tlaib,Democrat,MI,Member,,T000481,full_name+state,
Financial Services,House,117,2021,2022,Alexandria Ocasio-Cortez,Alexandria,Ocasio-Cortez,Democrat,NY,Member,,O000172,full_name+state,
Financial Services,House,117,2021,2022,Madeleine Dean,Madeleine,Dean,Democrat,PA,Member,,D000631,full_name+state,
Financial Services,House,117,2021,2022,Chuy García,Chuy,García,Democrat,IL,Member,,,no_match,
Financial Services,House,117,2021,2022,Sylvia Garcia,Sylvia,Garcia,Democrat,TX,Member,,G000587,no_middle+state,
Financial Services,House,117,2021,2022,Nikema Williams,Nikema,Williams,Democrat,GA,Member,,W000788,full_name+state,
Financial Services,House,117,2021,2022,Jake Auchincloss,Jake,Auchincloss,Democrat,MA,Vice Chair,,A000148,full_name+state,
Financial Services,House,117,2021,2022,Patrick McHenry,Patrick,McHenry,Republican,NC,Ranking Member,,M001156,no_middle+state,
Financial Services,House,117,2021,2022,Frank Lucas,Frank,Lucas,Republican,OK,Member,,L000491,no_middle+state,
Financial Services,House,117,2021,2022,Pete Sessions,Pete,Sessions,Republican,TX,Member,,S000250,full_name+state,
Financial Services,House,117,2021,2022,Bill Posey,Bill,Posey,Republican,FL,Member,,P000599,full_name+state,
Financial Services,House,117,2021,2022,Blaine Luetkemeyer,Blaine,Luetkemeyer,Republican,MO,Member,,L000569,full_name+state,
Financial Services,House,117,2021,2022,Bill Huizenga,Bill,Huizenga,Republican,MI,Member,,H001058,full_name+state,
Financial Services,House,117,2021,2022,Ann Wagner,Ann,Wagner,Republican,MO,Vice Ranking Member,,W000812,full_name+state,
Financial Services,House,117,2021,2022,Andy Barr,Andy,Barr,Republican,KY,Member,,B001282,full_name+state,
Financial Services,House,117,2021,2022,Roger Williams,Roger,Williams,Republican,TX,Member,,W000816,full_name+state,
Financial Services,House,117,2021,2022,French Hill,French,Hill,Republican,AR,Member,,H001072,last+state,
Financial Services,House,117,2021,2022,Tom Emmer,Tom,Emmer,Republican,MN,Member,,E000294,full_name+state,
Financial Services,House,117,2021,2022,Lee Zeldin,Lee,Zeldin,Republican,NY,Member,,Z000017,no_middle+state,
Financial Services,House,117,2021,2022,Barry Loudermilk,Barry,Loudermilk,Republican,GA,Member,,L000583,full_name+state,
Financial Services,House,117,2021,2022,Alex Mooney,Alex,Mooney,Republican,WV,Member,,M001195,name_key,
Financial Services,House,117,2021,2022,Warren Davidson,Warren,Davidson,Republican,OH,Member,,D000626,full_name+state,
Financial Services,House,117,2021,2022,Ted Budd,Ted,Budd,Republican,NC,Member,,B001305,full_name+state,
Financial Services,House,117,2021,2022,David Kustoff,David,Kustoff,Republican,TN,Member,,K000392,full_name+state,
Financial Services,House,117,2021,2022,Trey Hollingsworth,Trey,Hollingsworth,Republican,IN,Member,,H001074,full_name+state,
Financial Services,House,117,2021,2022,Anthony Gonzalez,Anthony,Gonzalez,Republican,OH,Member,,G000588,full_name+state,
Financial Services,House,117,2021,2022,John Rose,John,Rose,Republican,TN,Member,,R000612,no_middle+state,
Financial Services,House,117,2021,2022,Bryan Steil,Bryan,Steil,Republican,WI,Member,,S001213,full_name+state,
Financial Services,House,117,2021,2022,Lance Gooden,Lance,Gooden,Republican,TX,Member,,G000589,full_name+state,
Financial Services,House,117,2021,2022,William Timmons,William,Timmons,Republican,SC,Member,,T000480,no_middle+state,
Financial Services,House,117,2021,2022,Van Taylor,Van,Taylor,Republican,TX,Member,,T000479,full_name+state,
Financial Services,House,117,2021,2022,Ralph Norman,Ralph,Norman,Republican,SC,Member,,N000190,full_name+state,
Financial Services,House,116,2019,2020,Maxine Waters,Maxine,Waters,Democrat,CA,Chair,,W000187,full_name+state,
Financial Services,House,116,2019,2020,Carolyn Maloney,Carolyn,Maloney,Democrat,NY,Member,,M000087,no_middle+state,
Financial Services,House,116,2019,2020,Nydia Velázquez,Nydia,Velázquez,Democrat,NY,Member,,,no_match,
Financial Services,House,116,2019,2020,Brad Sherman,Brad,Sherman,Democrat,CA,Member,,S000344,full_name+state,
Financial Services,House,116,2019,2020,Gregory Meeks,Gregory,Meeks,Democrat,NY,Member,,M001137,no_middle+state,
Financial Services,House,116,2019,2020,Lacy Clay,Lacy,Clay,Democrat,MO,Member,,C001049,last+state,
Financial Services,House,116,2019,2020,David Scott,David,Scott,Democrat,GA,Member,,S001157,full_name+state,
Financial Services,House,116,2019,2020,Al Green,Al,Green,Democrat,TX,Member,,G000553,full_name+state,
Financial Services,House,116,2019,2020,Emanuel Cleaver,Emanuel,Cleaver,Democrat,MO,Member,,C001061,full_name+state,
Financial Services,House,116,2019,2020,Ed Perlmutter,Ed,Perlmutter,Democrat,CO,Member,,,no_match,
Financial Services,House,116,2019,2020,Jim Himes,Jim,Himes,Democrat,CT,Member,,H001047,last+state,
Financial Services,House,116,2019,2020,Bill Foster,Bill,Foster,Democrat,IL,Member,,F000454,full_name+state,
Financial Services,House,116,2019,2020,Joyce Beatty,Joyce,Beatty,Democrat,OH,Member,,B001281,full_name+state,
Financial Services,House,116,2019,2020,Denny Heck,Denny,Heck,Democrat,WA,Member,,H001064,full_name+state,
Financial Services,House,116,2019,2020,Juan Vargas,Juan,Vargas,Democrat,CA,Member,,V000130,full_name+state,
Financial Services,House,116,2019,2020,Josh Gottheimer,Josh,Gottheimer,Democrat,NJ,Member,,G000583,full_name+state,
Financial Services,House,116,2019,2020,Vicente Gonzalez,Vicente,Gonzalez,Democrat,TX,Member,,G000581,full_name+state,
Financial Services,House,116,2019,2020,Al Lawson,Al,Lawson,Democrat,FL,Member,,L000586,full_name+state,
Financial Services,House,116,2019,2020,Michael San Nicolas,Michael San,Nicolas,Democrat,GU,Vice Chair,,S001204,name_key,
Financial Services,House,116,2019,2020,Rashida Tlaib,Rashida,Tlaib,Democrat,MI,Member,,T000481,full_name+state,
Financial Services,House,116,2019,2020,Katie Porter,Katie,Porter,Democrat,CA,Member,,P000618,full_name+state,
Financial Services,House,116,2019,2020,Cindy Axne,Cindy,Axne,Democrat,IA,Member,,A000378,last+state,
Financial Services,House,116,2019,2020,Sean Casten,Sean,Casten,Democrat,IL,Member,,C001117,full_name+state,
Financial Services,House,116,2019,2020,Ayanna Pressley,Ayanna,Pressley,Democrat,MA,Member,,P000617,full_name+state,
Financial Services,House,116,2019,2020,Ben McAdams,Ben,McAdams,Democrat,UT,Member,,M001209,full_name+state,
Financial Services,House,116,2019,2020,Alexandria Ocasio-Cortez,Alexandria,Ocasio-Cortez,Democrat,NY,Member,,O000172,full_name+state,
Financial Services,House,116,2019,2020,Jennifer Wexton,Jennifer,Wexton,Democrat,VA,Member,,W000825,full_name+state,
Financial Services,House,116,2019,2020,Stephen Lynch,Stephen,Lynch,Democrat,MA,Member,,L000562,no_middle+state,
Financial Services,House,116,2019,2020,Tulsi Gabbard,Tulsi,Gabbard,Democrat,HI,Member,,G000571,full_name+state,
Financial Services,House,116,2019,2020,Alma Adams,Alma,Adams,Democrat,NC,Member,,A000370,no_middle+state,
Financial Services,House,116,2019,2020,Madeleine Dean,Madeleine,Dean,Democrat,PA,Member,,D000631,full_name+state,
Financial Services,House,116,2019,2020,Chuy García,Chuy,García,Democrat,IL,Member,,,no_match,
Financial Services,House,116,2019,2020,Sylvia Garcia,Sylvia,Garcia,Democrat,TX,Member,,G000587,no_middle+state,
Financial Services,House,116,2019,2020,Dean Phillips,Dean,Phillips,Democrat,MN,Member,,P000616,full_name+state,
Financial Services,House,116,2019,2020,Patrick McHenry,Patrick,McHenry,Republican,NC,Ranking Member,,M001156,no_middle+state,
Financial Services,House,116,2019,2020,Frank Lucas,Frank,Lucas,Republican,OK,Member,,L000491,no_middle+state,
Financial Services,House,116,2019,2020,Bill Posey,Bill,Posey,Republican,FL,Member,,P000599,full_name+state,
Financial Services,House,116,2019,2020,Blaine Luetkemeyer,Blaine,Luetkemeyer,Republican,MO,Member,,L000569,full_name+state,
Financial Services,House,116,2019,2020,Bill Huizenga,Bill,Huizenga,Republican,MI,Member,,H001058,full_name+state,
Financial Services,House,116,2019,2020,Steve Stivers,Steve,Stivers,Republican,OH,Member,,S001187,full_name+state,
Financial Services,House,116,2019,2020,Ann Wagner,Ann,Wagner,Republican,MO,Vice Ranking Member,,W000812,full_name+state,
Financial Services,House,116,2019,2020,Andy Barr,Andy,Barr,Republican,KY,Member,,B001282,full_name+state,
Financial Services,House,116,2019,2020,Scott Tipton,Scott,Tipton,Republican,CO,Member,,T000470,no_middle+state,
Financial Services,House,116,2019,2020,Roger Williams,Roger,Williams,Republican,TX,Member,,W000816,full_name+state,
Financial Services,House,116,2019,2020,French Hill,French,Hill,Republican,AR,Member,,H001072,last+state,
Financial Services,House,116,2019,2020,Tom Emmer,Tom,Emmer,Republican,MN,Member,,E000294,full_name+state,
Financial Services,House,116,2019,2020,Lee Zeldin,Lee,Zeldin,Republican,NY,Member,,Z000017,no_middle+state,
Financial Services,House,116,2019,2020,Barry Loudermilk,Barry,Loudermilk,Republican,GA,Member,,L000583,full_name+state,
Financial Services,House,116,2019,2020,Alex Mooney,Alex,Mooney,Republican,WV,Member,,M001195,name_key,
Financial Services,House,116,2019,2020,Warren Davidson,Warren,Davidson,Republican,OH,Member,,D000626,full_name+state,
Financial Services,House,116,2019,2020,Ted Budd,Ted,Budd,Republican,NC,Member,,B001305,full_name+state,
Financial Services,House,116,2019,2020,David Kustoff,David,Kustoff,Republican,TN,Member,,K000392,full_name+state,
Financial Services,House,116,2019,2020,Trey Hollingsworth,Trey,Hollingsworth,Republican,IN,Member,,H001074,full_name+state,
Financial Services,House,116,2019,2020,Anthony Gonzalez,Anthony,Gonzalez,Republican,OH,Member,,G000588,full_name+state,
Financial Services,House,116,2019,2020,John Rose,John,Rose,Republican,TN,Member,,R000612,no_middle+state,
