committee,chamber,congress,year_start,year_end,full_name,first_name,last_name,party,state,role,Unnamed: 11,bioguide_id,match_method,Unnamed: 12
Agriculture Nutrition and Forestry,Senate,115,2017,2018,Pat Roberts,Pat,Roberts,Republican,MA,Chair,,R000307,full_name_only,
Agriculture Nutrition and Forestry,Senate,115,2017,2018,Debbie Stabenow,Debbie,Stabenow,Democrat,NV,Ranking Member,,S000770,full_name_only,
Agriculture Nutrition and Forestry,Senate,115,2017,2018,John Smith,John,Smith,Republican,CO,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,115,2017,2018,Michael Johnson,Michael,Johnson,Democrat,CT,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,115,2017,2018,David Williams,David,Williams,Republican,DE,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,115,2017,2018,Robert Brown,Robert,Brown,Democrat,FL,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,115,2017,2018,James Jones,James,Jones,Republican,GA,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,115,2017,2018,William Miller,William,Miller,Democrat,HI,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,115,2017,2018,Richard Davis,Richard,Davis,Republican,ID,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,115,2017,2018,Joseph Garcia,Joseph,Garcia,Democrat,IL,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,115,2017,2018,Thomas Rodriguez,Thomas,Rodriguez,Republican,IN,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,115,2017,2018,Charles Wilson,Charles,Wilson,Democrat,IA,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,115,2017,2018,Christopher Martinez,Christopher,Martinez,Republican,KS,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,115,2017,2018,Daniel Anderson,Daniel,Anderson,Democrat,KY,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,115,2017,2018,Matthew Taylor,Matthew,Taylor,Republican,LA,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,115,2017,2018,Anthony Thomas,Anthony,Thomas,Democrat,ME,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,115,2017,2018,Mark Moore,Mark,Moore,Republican,MD,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,115,2017,2018,Donald Jackson,Donald,Jackson,Democrat,MA,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,115,2017,2018,Steven Martin,Steven,Martin,Republican,MI,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,115,2017,2018,Paul Lee,Paul,Lee,Democrat,MN,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,115,2017,2018,Andrew Thompson,Andrew,Thompson,Republican,MS,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,116,2019,2020,Pat Roberts,Pat,Roberts,Republican,MA,Chair,,R000307,full_name_only,
Agriculture Nutrition and Forestry,Senate,116,2019,2020,Debbie Stabenow,Debbie,Stabenow,Democrat,NV,Ranking Member,,S000770,full_name_only,
Agriculture Nutrition and Forestry,Senate,116,2019,2020,John Smith,John,Smith,Republican,CO,Member,,,no_match,
Agriculture Nutrition and Forestry,Senate,116,2019,2020,Michael Johnson,Michael,Johnson,Democrat,CT,Member,,,no_match,
