ticker,sector
INDB,Financial Services
DRII,
X,
TSC,
MPW,Real Estate
HYG,
CMN,
ODFL,Industrials
AAON,Industrials
YOU,Technology
ARW,Technology
PEP,Consumer Defensive
TX,Basic Materials
SDOG,
AMN,Healthcare
MRD,
CWH,Consumer Cyclical
PPR,
CBRL,Consumer Cyclical
SXL,
CPNG,Consumer Cyclical
VET,Energy
PROSY,Consumer Cyclical
IRT,Real Estate
YARIY,Basic Materials
SONVY,Healthcare
MN,
SAGI,
IIN,
YTEN,
BGEN,
XCEM,
CCEP,Consumer Defensive
DOCS,Healthcare
EFV,
CRM,Technology
GO,Consumer Defensive
PLD,Real Estate
RPT,Real Estate
VBTX,
ADCT,Healthcare
CFX,
CI,Healthcare
SCMY,
SOHO,Real Estate
CSLLY,Healthcare
FNBC,
SARO,Industrials
APP,Communication Services
BCO,Industrials
CSAL,
QBIEY,Financial Services
POST,Consumer Defensive
PDBC,
ENGIY,Utilities
PTMK,
SIGI,Financial Services
CG,Financial Services
BDRFY,Consumer Defensive
PG,Consumer Defensive
HIMS,Healthcare
FTS,Utilities
LNG,Energy
ECL,Basic Materials
BT,
PLXS,Technology
MHGVY,Consumer Defensive
CHNG,
BABAF,Consumer Cyclical
SPLK,
MC,Financial Services
MGPI,Consumer Defensive
OLPX,Consumer Cyclical
TEAR,
MP,Basic Materials
CHEF,Consumer Defensive
GBTC,
CCT,
HCKT,Technology
BX,Financial Services
JEF,Financial Services
RATL,
VGK,
ALYF,
GPRO,Technology
TJX,Consumer Cyclical
ALGN,Healthcare
EGIEY,Utilities
SATS,Communication Services
VAR,
MDGS,
VST,Utilities
PEGFF,
FLL,Consumer Cyclical
NML,Financial Services
MUFG,Financial Services
TSCO,Consumer Cyclical
LITP,
NWBI,Financial Services
PN,Technology
DNFGY,Consumer Cyclical
RLMD,Healthcare
GBIL,
EKO,
WPG,
TMO,Healthcare
LSYIX,
LYV,Communication Services
PD,Technology
PPG,Basic Materials
TDS,Communication Services
BONT,
NES,
VDC,
AMTM,Industrials
DST,
VRTX,Healthcare
SRPT,Healthcare
WFC,Financial Services
NBL,
MTB,Financial Services
MOO,
PSB,
CSIQ,Technology
NOW,Technology
WPX,
AIRM,
ROAD,Industrials
NSIT,Technology
ABBNY,Industrials
LQ,
CAPL,Energy
RIVN,Consumer Cyclical
ICFI,Industrials
LRN,Consumer Defensive
ARLP,Energy
STWD,Real Estate
DJO,
BIAC,
TRS,Consumer Cyclical
NVIGF,
LGN,Industrials
CCL,Consumer Cyclical
DLTR,Consumer Defensive
GMXAY,
CHCO,Financial Services
HDGE,
ENTA,Healthcare
E,Energy
JDD,
DBX,Technology
HFWA,Financial Services
WKHS,Consumer Cyclical
HIFR,
TCPC,Financial Services
MIDD,Industrials
NOK,Technology
U3%25CD,
WSO,Industrials
WSBC,Financial Services
RDEIY,Utilities
OCGN,Healthcare
KMI,Energy
PAA,Energy
AGESY,Financial Services
HMN,Financial Services
