committee;chamber;congress;year_start;year_end;full_name;first_name;last_name;party;state;role;
Financial Services;House;118;2023;2024;Patrick McHenry;Patrick;McHenry;Republican;NC;Chair;
Financial Services;House;118;2023;2024;Frank Lucas;Frank;Lucas;Republican;OK;Member;
Financial Services;House;118;2023;2024;Pete Sessions;Pete;Sessions;Republican;TX;Member;
Financial Services;House;118;2023;2024;Bill Huizenga;Bill;Huizenga;Republican;MI;Member;
Financial Services;House;118;2023;2024;Ann Wagner;Ann;Wagner;Republican;MO;Member;
Financial Services;House;118;2023;2024;Andy Barr;Andy;Barr;Republican;KY;Member;
Financial Services;House;118;2023;2024;Roger Williams;Roger;Williams;Republican;TX;Member;
Financial Services;House;118;2023;2024;French Hill;French;Hill;Republican;AR;Member;
Financial Services;House;118;2023;2024;Tom Emmer;Tom;Emmer;Republican;MN;Member;
Financial Services;House;118;2023;2024;Barry Loudermilk;Barry;Loudermilk;Republican;GA;Member;
Financial Services;House;118;2023;2024;Warren Davidson;Warren;Davidson;Republican;OH;Member;
Financial Services;House;118;2023;2024;John Rose;John;Rose;Republican;TN;Member;
Financial Services;House;118;2023;2024;Bryan Steil;Bryan;Steil;Republican;WI;Member;
Financial Services;House;118;2023;2024;William Timmons;William;Timmons;Republican;SC;Member;
Financial Services;House;118;2023;2024;Ralph Norman;Ralph;Norman;Republican;SC;Member;
Financial Services;House;118;2023;2024;Maxine Waters;Maxine;Waters;Democrat;CA;Ranking Member;
Financial Services;House;118;2023;2024;Nydia Velázquez;Nydia;Velázquez;Democrat;NY;Member;
Financial Services;House;118;2023;2024;Brad Sherman;Brad;Sherman;Democrat;CA;Member;
Financial Services;House;118;2023;2024;Gregory Meeks;Gregory;Meeks;Democrat;NY;Member;
Financial Services;House;118;2023;2024;David Scott;David;Scott;Democrat;GA;Member;
Financial Services;House;118;2023;2024;Stephen Lynch;Stephen;Lynch;Democrat;MA;Member;
Financial Services;House;118;2023;2024;Al Green;Al;Green;Democrat;TX;Member;
Financial Services;House;118;2023;2024;Emanuel Cleaver;Emanuel;Cleaver;Democrat;MO;Member;
Financial Services;House;118;2023;2024;Jim Himes;Jim;Himes;Democrat;CT;Member;
Financial Services;House;118;2023;2024;Bill Foster;Bill;Foster;Democrat;IL;Member;
Financial Services;House;118;2023;2024;Joyce Beatty;Joyce;Beatty;Democrat;OH;Member;
Financial Services;House;118;2023;2024;Juan Vargas;Juan;Vargas;Democrat;CA;Member;
Financial Services;House;118;2023;2024;Josh Gottheimer;Josh;Gottheimer;Democrat;NJ;Member;
Financial Services;House;118;2023;2024;Vicente Gonzalez;Vicente;Gonzalez;Democrat;TX;Member;
Financial Services;House;118;2023;2024;Sean Casten;Sean;Casten;Democrat;IL;Member;
Financial Services;House;118;2023;2024;Ayanna Pressley;Ayanna;Pressley;Democrat;MA;Member;
Financial Services;House;118;2023;2024;Ritchie Torres;Ritchie;Torres;Democrat;NY;Member;
Financial Services;House;118;2023;2024;Rashida Tlaib;Rashida;Tlaib;Democrat;MI;Member;
Financial Services;House;118;2023;2024;Sylvia Garcia;Sylvia;Garcia;Democrat;TX;Member;
Financial Services;House;118;2023;2024;Nikema Williams;Nikema;Williams;Democrat;GA;Member;
Financial Services;House;117;2021;2022;Maxine Waters;Maxine;Waters;Democrat;CA;Chair;
Financial Services;House;117;2021;2022;Carolyn Maloney;Carolyn;Maloney;Democrat;NY;Member;
Financial Services;House;117;2021;2022;Nydia Velázquez;Nydia;Velázquez;Democrat;NY;Member;
Financial Services;House;117;2021;2022;Brad Sherman;Brad;Sherman;Democrat;CA;Member;
Financial Services;House;117;2021;2022;Gregory Meeks;Gregory;Meeks;Democrat;NY;Member;
Financial Services;House;117;2021;2022;David Scott;David;Scott;Democrat;GA;Member;
Financial Services;House;117;2021;2022;Al Green;Al;Green;Democrat;TX;Member;
