bioguide_id,govtrack_id,opensecrets_id,fec_ids,wikipedia_id,full_name,first_name,last_name,middle_name,nickname,official_full,birthday,age_2024,age_2020,gender,religion,party,party_clean,state,chamber,type,district,senate_class,state_rank,first_relevant_term_start,latest_term_start,latest_term_end,num_relevant_terms,seniority_years,is_current,retirement_year,retired_during_period,is_senate,is_house,source,phone,fax,address,office,website,contact_form,rss_url,twitter,facebook,youtube,instagram,committees_list,num_committees
H001048,412283,N00029258,['H8CA52052'],Duncan D. Hunter,Duncan Hunter,Duncan,Hunter,D.,,Duncan Hunter,1976-12-07,48,44,M,,Republican,R,CA,House,rep,50.0,,,2019-01-03,2019-01-03,2020-01-13,1,1.03,False,2020,True,False,True,historical,202-225-5672,,2429 Rayburn House Office Building; Washington DC 20515-0550,2429 Rayburn House Office Building,https://hunter.house.gov,,http://hunter.house.gov/rss.xml,,,,,,0
M001187,412552,N00033631,['H2NC11080'],Mark Meadows,Mark Meadows,Mark,Meadows,,,Mark Meadows,1959-07-28,65,61,M,,Republican,R,NC,House,rep,11.0,,,2019-01-03,2019-01-03,2020-03-30,1,1.24,False,2020,True,False,True,historical,202-225-6401,,2160 Rayburn House Office Building; Washington DC 20515-3311,2160 Rayburn House Office Building,https://meadows.house.gov,,http://meadows.house.gov/rss/press-releases.xml,,,,,,0
R000601,412653,N00035972,['H4TX04153'],John Ratcliffe (American politician),John Ratcliffe,John,Ratcliffe,,,John Ratcliffe,1965-10-20,59,55,M,,Republican,R,TX,House,rep,4.0,,,2019-01-03,2019-01-03,2020-05-22,1,1.38,False,2020,True,False,True,historical,202-225-6673,,223 Cannon House Office Building; Washington DC 20515-4304,223 Cannon House Office Building,https://ratcliffe.house.gov,,,,,,,,0
L000287,400240,N00002577,['H6GA05217'],John Lewis,John Lewis,John,Lewis,R.,,John Lewis,1940-02-21,84,80,M,,Democrat,D,GA,House,rep,5.0,,,2019-01-03,2019-01-03,2020-07-17,1,1.54,False,2020,True,False,True,historical,202-225-3801,,300 Cannon House Office Building; Washington DC 20515-1005,300 Cannon House Office Building,https://johnlewis.house.gov,,http://johnlewis.house.gov/rss.xml,,,,,,0
G000560,412388,N00030788,['H0GA09030'],Tom Graves,Tom Graves,Tom,Graves,,,Tom Graves,1970-02-03,54,50,M,,Republican,R,GA,House,rep,14.0,,,2019-01-03,2019-01-03,2020-10-04,1,1.75,False,2020,True,False,True,historical,202-225-5211,,2078 Rayburn House Office Building Washington DC 20515-1014,2078 Rayburn House Office Building,https://tomgraves.house.gov,,http://tomgraves.house.gov/news/rss.aspx,,,,,,0
M001197,412611,N00033982,"['S8AZ00221', 'H2AZ08102']",Martha McSally,Martha McSally,Martha,McSally,,,Martha McSally,1966-03-22,58,54,F,,Republican,R,AZ,Senate,sen,,3.0,junior,2019-01-03,2019-01-03,2020-12-02,1,1.92,False,2020,True,True,False,historical,202-224-2235,,404 Russell Senate Office Building Washington DC 20510,404 Russell Senate Office Building,https://www.mcsally.senate.gov,https://www.mcsally.senate.gov/contact_martha,,,,,,,0
C001094,412513,N00034224,['H2CA08164'],Paul Cook (politician),Paul Cook,Paul,Cook,,,Paul Cook,1943-03-03,81,77,M,,Republican,R,CA,House,rep,8.0,,,2019-01-03,2019-01-03,2020-12-07,1,1.93,False,2020,True,False,True,historical,202-225-5861,,1027 Longworth House Office Building Washington DC 20515-0508,1027 Longworth House Office Building,https://cook.house.gov,,http://cook.house.gov/rss.xml,,,,,,0
A000360,300002,N00009888,"['S2TN00058', 'P60003225']",Lamar Alexander,Lamar Alexander,Lamar,Alexander,,,Lamar Alexander,1940-07-03,84,80,M,,Republican,R,TN,Senate,sen,,2.0,senior,2015-01-06,2015-01-06,2021-01-03,1,6.0,False,2021,True,True,False,historical,202-224-4944,202-228-3398,455 Dirksen Senate Office Building Washington DC 20510,455 Dirksen Senate Office Building,https://www.alexander.senate.gov/public,http://www.alexander.senate.gov/public/index.cfm?p=Email,http://www.alexander.senate.gov/public/?a=rss.feed,,,,,,0
E000285,300041,N00006249,['S6WY00126'],Mike Enzi,Michael Enzi,Michael,Enzi,B.,,Michael B. Enzi,1944-02-01,80,76,M,,Republican,R,WY,Senate,sen,,2.0,senior,2015-01-06,2015-01-06,2021-01-03,1,6.0,False,2021,True,True,False,historical,202-224-3424,202-228-0359,379A Russell Senate Office Building Washington DC 20510,379a Russell Senate Office Building,https://www.enzi.senate.gov,http://www.enzi.senate.gov/public/index.cfm/contact?p=e-mail-senator-enzi,http://www.enzi.senate.gov/public/index.cfm/rss/feed,,,,,,0
R000307,300083,N00005285,"['S6KS00080', 'H0KS01016']",Pat Roberts,Pat Roberts,Pat,Roberts,,,Pat Roberts,1936-04-20,88,84,M,,Republican,R,KS,Senate,sen,,2.0,senior,2015-01-06,2015-01-06,2021-01-03,1,6.0,False,2021,True,True,False,historical,202-224-4774,202-224-3514,109 Hart Senate Office Building Washington DC 20510,109 Hart Senate Office Building,https://www.roberts.senate.gov,https://www.roberts.senate.gov/public/?p=EmailPat,http://www.roberts.senate.gov/public/?a=rss.feed,,,,,,0
