Model,Features,N_features,N_PCA,N_predictions,OOS_R2,OOS_R2_pct,MSE,RMSE,DM_stat,DM_pval
OLS,Base (Mercado),29,15,27467,0.00020242986604446234,0.020242986604446234,0.00036428297267598805,0.019086198486759694,0.1604937576627851,0.8724921385530315
Ridge,Base (Mercado),29,15,27467,0.00026940230262217923,0.026940230262217923,0.0003642585708180394,0.019085559222041134,0.21495191862774857,0.8298048056323459
LASSO,Base (Mercado),29,15,27467,-5.8270084412281875e-05,-0.0058270084412281875,0.00036437796045728075,0.019088686713791516,-0.07726333706251831,0.9384140564753358
ElasticNet,Base (Mercado),29,15,27467,-5.8214709113046936e-05,-0.005821470911304694,0.00036437794028091784,0.019088686185301434,-0.07719425657819783,0.9384690106015237
RandomForest,Base (Mercado),29,15,27467,0.0006855503625120551,0.06855503625120551,0.0003641069444720084,0.019081586529217334,0.477119342332054,0.633277141990884
GradientBoosting,Base (Mercado),29,15,27467,-0.00200171221463763,-0.20017122146376298,0.00036508606667554994,0.019107225509622006,-1.09853479260362,0.27197103364417874
OLS,Ampliado (Mercado + Congreso),70,15,27467,-0.0011940184478331783,-0.11940184478331783,0.0003647917780163527,0.019099522978764487,-1.0616804718263584,0.288380767578865
Ridge,Ampliado (Mercado + Congreso),70,15,27467,-0.0011672706625545093,-0.11672706625545093,0.0003647820322807909,0.01909926784672101,-1.040984143191315,0.2978829076127143
LASSO,Ampliado (Mercado + Congreso),70,15,27467,-0.00010071054809102087,-0.010071054809102087,0.0003643934239258193,0.019089091752250008,-0.15706278392153114,0.8751953676224533
ElasticNet,Ampliado (Mercado + Congreso),70,15,27467,-9.748083404148566e-05,-0.009748083404148566,0.0003643922471577714,0.019089060929175415,-0.15192849355400617,0.8792433345529678
RandomForest,Ampliado (Mercado + Congreso),70,15,27467,-0.0016600145386191922,-0.16600145386191922,0.00036496156682788597,0.019103967305978253,-1.1799550645121977,0.23801808740677677
GradientBoosting,Ampliado (Mercado + Congreso),70,15,27467,-0.0048180211459922795,-0.48180211459922795,0.0003661122077866454,0.019134058842458005,-2.7378730737436965,0.006183793707638108
